name;ts;value
mineralwasser;1562962080.0;1.0
mineralwasser;1562972880.0;1.0
mineralwasser;1562983680.0;1.0
mineralwasser;1562994480.0;1.0
mineralwasser;1563005280.0;1.0
mineralwasser;1563016080.0;1.0
mineralwasser;1563026880.0;1.0
mineralwasser;1563037680.0;1.0
mineralwasser;1563048480.0;1.0
mineralwasser;1563059280.0;1.0
mineralwasser;1563070080.0;1.0
mineralwasser;1563080880.0;1.0
mineralwasser;1563091680.0;1.0
mineralwasser;1563102480.0;1.0
mineralwasser;1563113280.0;1.0
mineralwasser;1563124080.0;1.0
mineralwasser;1563134880.0;1.0
mineralwasser;1563145680.0;1.0
mineralwasser;1563156480.0;1.0
mineralwasser;1563167280.0;1.0
mineralwasser;1563178080.0;1.0
mineralwasser;1563188880.0;1.0
mineralwasser;1563199680.0;1.0
mineralwasser;1563210480.0;1.0
mineralwasser;1563221280.0;1.0
mineralwasser;1563232080.0;1.0
mineralwasser;1563242880.0;1.0
mineralwasser;1563253680.0;1.0
mineralwasser;1563264480.0;1.0
mineralwasser;1563275280.0;1.0
mineralwasser;1563286080.0;1.0
mineralwasser;1563296880.0;2.0
mineralwasser;1563307680.0;1.0
mineralwasser;1563318480.0;1.0
mineralwasser;1563329280.0;1.0
mineralwasser;1563340080.0;1.0
mineralwasser;1563350880.0;1.0
mineralwasser;1563361680.0;1.0
mineralwasser;1563372480.0;1.0
mineralwasser;1563383280.0;1.0
mineralwasser;1563394080.0;1.0
mineralwasser;1563404880.0;1.0
mineralwasser;1563415680.0;1.0
mineralwasser;1563426480.0;1.0
mineralwasser;1563437280.0;1.0
mineralwasser;1563448080.0;1.0
mineralwasser;1563458880.0;1.0
mineralwasser;1563469680.0;1.0
mineralwasser;1563480480.0;1.0
mineralwasser;1563491280.0;1.0
mineralwasser;1563502080.0;1.0
mineralwasser;1563512880.0;1.0
mineralwasser;1563523680.0;1.0
mineralwasser;1563534480.0;1.0
mineralwasser;1563545280.0;1.0
mineralwasser;1563556080.0;1.0
mineralwasser;1563566880.0;1.0
mineralwasser;1563577680.0;1.0
mineralwasser;1563588480.0;1.0
mineralwasser;1563599280.0;1.0
mineralwasser;1563610080.0;1.0
mineralwasser;1563620880.0;1.0
mineralwasser;1563631680.0;1.0
mineralwasser;1563642480.0;1.0
mineralwasser;1563653280.0;1.0
mineralwasser;1563664080.0;1.0
mineralwasser;1563674880.0;1.0
mineralwasser;1563685680.0;1.0
mineralwasser;1563696480.0;1.0
mineralwasser;1563707280.0;1.0
mineralwasser;1563718080.0;1.0
mineralwasser;1563728880.0;1.0
mineralwasser;1563739680.0;1.0
